"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_SPDT_PCM12";1;"SW_SPDT";;;
2;"G***";"Jiggle_10x15_BSILK";1;"JiggleBilly";;;
3;"G***";"NG_BSilk";1;"NG_BSilk";;;
4;"G***";"FG_10x10_BSILK";1;"fg";;;
5;"G***";"BadgePiratesURL_BSLK";1;"LOGO";;;
6;"G***";"BPSkull_Distressed_10x10_BSILK";1;"BP Logo";;;
7;"G***";"pecord";1;"pecord";;;
8;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
9;"X2,X12,X11,X10,X9,X8,X7,X6,X5,X4,X3,X1";"Badgelife-SAOv169-BADGE-2x3_Back";12;"Badgelife_sao_connector_v169bis";;;
10;"REF**";"Hole_4.5mm";1;"4.5mm";;;
11;"BT1";"BatteryHolder_MPD_BC2003_1x2032";1;"Battery_Cell";;;
12;"G***,G***,G***,G***,G***,G***,G***";"LOGO";7;"LOGO";;;
